n,time_seconds
n,time_seconds
1,0.001649
2,0.001336
3,0.001097
4,0.001227
5,0.001272
6,0.001454
7,0.001371
8,0.001492
9,0.001659
10,0.001927
11,0.001970
12,0.002308
1,0.005307
2,0.002966
3,0.002475
4,0.002244
5,0.001993
6,0.002508
7,0.002278
8,0.002349
9,0.002297
10,0.002153
11,0.002759
12,0.003056
1,0.007054
2,0.004670
3,0.003311
4,0.002706
5,0.002227
6,0.002293
7,0.002593
8,0.002394
9,0.002260
10,0.002171
11,0.002403
12,0.003098
1,0.009740
2,0.005705
3,0.004885
4,0.003419
5,0.002875
6,0.002525
7,0.002545
8,0.002839
9,0.003000
10,0.002964
11,0.002900
12,0.003181
